Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
282,,"Jun 29, 2025","Jul 16, 2025",Complete,Dovercourt Av Closed,Dovercourt Avenue,135 Street NW,122 Avenue NW,Total Closure,2.5 Weeks,Dovercourt Av will be closed from 135 St to approximately 30m west of 135 St. Use other routes.,Raised Crosswalk Construction,Construction,Northwest,Road,POINT (-113.5575125974665 53.57605883115949)
125,,"Apr 30, 2025","May 06, 2025",Complete,WMD SB to TWD SB Ramp closure,Whitemud Drive NW,Terwillegar Drive NW,,Total Closure,5 Nights,"April 30, and May 2, 3, 4, and 5 nightly from 9pm - 6am. Whitemud Dr SB  to Terwillegar Dr SB ramp will be closed. Follow detour route.",Girder Erection,Construction,Southwest,Road,POINT (-113.5708197261924 53.48248635019089)
267,,"Jun 07, 2025","Jun 09, 2025",Complete,98 Street; 107 Av to 107 Av - Closure,98 Street NW,107 Avenue NW,106 Avenue NW,Total Closure,3 Days,98 Street from 107 Avenue to 106 Avenue closed due to a special event.,Special Event - Van bLoc Party,Special Event,Central,Road,POINT (-113.49066052456625 53.55158389209391)
487,,"Jul 14, 2025","Jul 21, 2025",Complete,99A St; 9638 99A St-Scona Rd Total Closure,99A Street NW,96 Avenue NW,Scona Road NW,Total Closure,8 Days,99A street will be closed between 9638 99A St to Scona Rd from 19:00 to 06:00 nightly.,SEWER MAINTENANCE,Construction,Central,Road,POINT (-113.48538527430948 53.5343836195114)
442,,"Jun 27, 2025","Jun 27, 2025",Complete,Traffic Incident,WHITEMUD DRIVE NW,149 STREET NW,,Traffic Incident Delays,Unknown,Traffic Incident Whitemud Srive westbound - near 149 St.,Traffic Incident,Traffic Incident,Southwest,Road,POINT (-113.57854280027952 53.51363442866546)
286,,"Jun 07, 2025","Jun 18, 2025",Complete,106A Ave Closure,106A Avenue NW,92 Street NW,85 Street NW,Total Closure,1.5 weeks,106A Ave closed from 92 Street to 30m east. South sidewalk closed. Pedestrian detour using north sidewalk.,Water Work,Construction,Central,Road and Sidewalk,POINT (-113.47813794400504 53.55299228464243)
181,,"May 02, 2025","Jun 04, 2025",Complete,72 Street Closure,72 Street NW,87 Avenue NW,88 Avenue NW,Total Closure,5 Weeks,72 St will be closed with Local Access only.,Drainage Utility Installations,Construction,Southeast,Road and Sidewalk,POINT (-113.438298169537 53.52208675026713)
559,,"Jul 11, 2025","Aug 05, 2025",Complete,Baturyn Rehab Stage 6 and 7,172 Avenue NW,103 Street NW,106 Street NW,Total Closure,Three Weeks,172 Ave from the West side of 103 St to the East side of 106 St will be closed. Pedestrian access will be maintained. Detour using 100 St or 109 St.,Collector Rehab,Construction,Northeast,Road,POINT (-113.50122408347914 53.633749016130636)
16,,"Dec 04, 2024","May 09, 2025",Complete,Eastbound 127 Ave Reduced to One Lane,127 Avenue NW,87 Street NW,85 Street NW,Travel Delays,5 Months,Eastbound 127 Ave reduced to one inside lane. Sidewalk open at a reduced width.,Utility Repair,Construction,Northeast,Road and Sidewalk,POINT (-113.47441758591191 53.58482710788882)
90,,"Apr 14, 2025","Apr 22, 2025",Complete,82 AV Traffic Split,82 Avenue NW,98 Street NW,96 Street NW,Increased Travel Time,9 Days,Road segment reduced to a single lane in each direction and split to the north side.,Water Install,Construction,Central,Road,POINT (-113.47667993465969 53.518040247503045)
110,,"Apr 17, 2025","Nov 30, 2025",Current,109 St-104 Av Lane Reductions/Turn Bans,109 Street NW,104 Avenue NW,,Travel Delays,7.5 Months,"109 St reduced to 2 lanes each way. Left turns banned for SB, EB, and WB. 104 Av reduced to 1 lane each way.
For more information, visit marigoldinfra.ca/current-construction-notices/ or Edmonton.ca/projects_plans/transit/valley-line-west",West LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.5084285917609 53.54622882225017)
574,,"Jul 31, 2025","Sep 10, 2025",Current,116 St Delays,116 Street NW,Jasper Avenue NW,,Travel Delays,6 Weeks,"At Jasper Av: Northbound 116 St will be reduced to a single, shared through and left turn lane and Southbound 116 St dedicated left turn lane is closed (two thru lanes are open with left turns permitted from adjacent lane)   Expect Delays. Use 121 St of 109 St to detour.",Road Rehab,Construction,Southeast,Road and Sidewalk,POINT (-113.52755715870941 53.52467556860147)
515,,"Jul 19, 2025","Jul 20, 2025",Complete,83 Avenue; 104 St to Gateway Blvd Closure,83 Avenue NW,Gateway Boulevard NW,104 Street NW,Total Closure,2 Days,83 Avenue between Gateway Boulevard and 104 Street will be closed daily from 07:00 to 17:00 for a Special Event,Special Event,Special Event,Central,Road,POINT (-113.49506609898567 53.51905985022891)
23,,"Jun 20, 2022","Jun 20, 2026",Current,WLRT Construction,Stony Plain Road NW,139 Street NW,157 Street NW,Travel Delays,Long Term Project,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av,
will be reduced to 1 lane in each direction for LRT construction work.
Use other routes. Various sidewalk closures will also be required for this
and pedestrians will be detoured",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.5920806553219 53.54129416446347)
61,,"Feb 12, 2024","Aug 10, 2025",Complete,Rainbow Valley Bridge Work,Whitemud Drive,53 Avenue,122 Street,Increased Travel Time,Long term Project,Traffic is split over the south bridge deck of Rainbow Valley Bridge.  Two lanes will be maintained through the construction zone.,Terwillegar Dr Proj Stage 2,Construction,Southwest,Road,POINT (-113.57201214645684 53.490407577573094)
662,,"Aug 20, 2025","Aug 21, 2025",Current,109 Street High Level Bridge Detour,109 Street NW,97 Avenue NW,,Total Closure,One Night,"Wednesday August 20th, 9pm to 6am, the east access to High Level Bridge, will be closed. Follow the marked detour to the west access.",Construction,Construction,Central,Road,POINT (-113.5103202004725 53.52765147616023)
150,,"May 01, 2025","May 02, 2025",Complete,Yellowhead Trail Lane reductions and closure,Yellowhead Trail NW,St Albert Trail NW,149 Street NW,Travel Delays,1 Nihgt (9 pm - 6 am),"Yellowhead Tr WB, St Albert Tr to 149 St will be reduced to a single lane. Between the hours of 1am to 4am there will be up to a 20 minute total closure, Traffic will be detoured over the St Albert Trail Overpass to access Yellowhead Trail WB.",YHT Freeway Conversion,Construction,Northwest,Road,POINT (-113.55691699367259 53.58114638923677)
601,,"Jul 31, 2025","Jul 31, 2025",Complete,Traffic incident,51 AVENUE NW,108A STREET NW,106A STREET NW,Travel Delays,Unknown,"Traffic incident on 51 ave, one lane open for WB traffic and EB lanes blocked. Emergency responders at the scene",Traffic incident,Traffic Incident,Central,Road,POINT (-113.51097174497777 53.48824952538471)
