Hydrant Number,Dome Colour,Flow Rate,Installation Year,Latitude,Longitude,Location,Owner,Nearest Address,Life Cycle Indicator
21741,BLUE,> 95 L/s,2013,53.43362,-113.62871,POINT (-113.62871 53.433617),EPCOR,3642 WESTCLIFF WAY SW,FAC
19989,BLUE,> 95 L/s,2010,53.45194,-113.39210,POINT (-113.3921 53.451935),EPCOR,2137 33B STREET NW,FAC
19544,BLUE,> 95 L/s,2007,53.42824,-113.60888,POINT (-113.60888 53.428238),EPCOR,2152 AUSTIN LINK SW,FAC
8462,BLACK,> 95 L/s,1976,53.63020,-113.50162,POINT (-113.50162 53.6302),EPCOR,10215 168 AVENUE NW,FAC
28279,BLUE,> 95 L/s,2022,53.58687,-113.48204,POINT (-113.48204 53.58687),EPCOR,9119 128A AVENUE NW,CCC
15632,BLUE,> 95 L/s,1997,53.59018,-113.60297,POINT (-113.602974 53.59018),EPCOR,13140 163 STREET NW,FAC
10168,BLACK,> 95 L/s,1978,53.53243,-113.63741,POINT (-113.637405 53.532433),EPCOR,9704 182 STREET NW,FAC
8794,BLACK,> 95 L/s,1976,53.45698,-113.47692,POINT (-113.47692 53.456985),EPCOR,9650 27 AVENUE NW,FAC
4031,BLACK,> 95 L/s,1995,53.59360,-113.50850,POINT (-113.5085 53.5936),EPCOR,13241 109 STREET NW,FAC
16335,BLUE,> 95 L/s,2000,53.59041,-113.59650,POINT (-113.596504 53.590412),EPCOR,15824 131 AVENUE NW,FAC
5902,BLUE,> 95 L/s,1967,53.59937,-113.43736,POINT (-113.43736 53.599373),EPCOR,6139 137 AVENUE NW,FAC
5675,BLUE,> 95 L/s,1986,53.53759,-113.59219,POINT (-113.59219 53.537594),EPCOR,15704 99 AVENUE NW,FAC
21550,BLUE,> 95 L/s,2012,53.42910,-113.60160,POINT (-113.60159 53.429104),EPCOR,4104 ALLAN CRESCENT SW,FAC
6593,BLUE,> 95 L/s,1971,53.60738,-113.47089,POINT (-113.470894 53.607376),EPCOR,14403 85 STREET NW,FAC
19124,BLUE,> 95 L/s,2007,53.43701,-113.60626,POINT (-113.60626 53.43701),EPCOR,6255 CURRENTS DRIVE NW,FAC
